order_id,user_id,item_id,price,created
110,162,i0001,1300,2022/12/07 22:09:00
155,208,i0001,1300,2022/12/10 15:46:02
287,507,i0001,1300,2022/12/19 2:27:16
310,816,i0001,1300,2022/12/20 4:53:05
459,335,i0001,1300,2022/12/29 12:10:21
1,268,i0002,3000,2022/12/01 0:08:29
6,90,i0002,3000,2022/12/01 6:34:40
34,139,i0002,3000,2022/12/02 19:17:40
37,856,i0002,3000,2022/12/02 21:49:34
56,652,i0002,3000,2022/12/04 7:11:04
60,995,i0002,3000,2022/12/04 11:58:25
88,271,i0002,3000,2022/12/06 13:09:24
95,768,i0002,3000,2022/12/06 19:37:12
105,379,i0002,3000,2022/12/07 15:09:48
199,437,i0002,3000,2022/12/13 2:32:37
219,312,i0002,3000,2022/12/14 18:28:23
261,46,i0002,3000,2022/12/17 8:04:26
306,428,i0002,3000,2022/12/19 23:08:09
387,558,i0002,3000,2022/12/24 13:23:57
391,823,i0002,3000,2022/12/24 15:55:09
404,360,i0002,3000,2022/12/25 1:59:01
405,437,i0002,3000,2022/12/25 3:14:13
445,993,i0002,3000,2022/12/28 19:48:27
449,445,i0002,3000,2022/12/29 3:02:05
463,57,i0002,3000,2022/12/29 15:41:03
475,482,i0002,3000,2022/12/30 10:55:46
12,481,i0003,2600,2022/12/01 13:22:21
29,43,i0003,2600,2022/12/02 15:28:46
190,211,i0003,2600,2022/12/12 17:14:09
194,514,i0003,2600,2022/12/12 23:26:07
233,488,i0003,2600,2022/12/15 10:21:08
235,145,i0003,2600,2022/12/15 14:18:50
281,359,i0003,2600,2022/12/18 15:38:57
355,392,i0003,2600,2022/12/22 15:01:33
381,389,i0003,2600,2022/12/24 4:50:21
385,410,i0003,2600,2022/12/24 8:04:40
400,454,i0003,2600,2022/12/24 23:46:39
439,716,i0003,2600,2022/12/28 13:52:44
30,351,i0004,2000,2022/12/02 15:49:42
38,552,i0004,2000,2022/12/02 22:57:10
129,621,i0004,2000,2022/12/09 0:24:43
213,469,i0004,2000,2022/12/14 6:16:27
229,434,i0004,2000,2022/12/15 7:53:47
352,746,i0004,2000,2022/12/22 14:19:34
364,564,i0004,2000,2022/12/23 4:35:54
388,835,i0004,2000,2022/12/24 13:24:14
448,115,i0004,2000,2022/12/29 2:20:35
450,252,i0004,2000,2022/12/29 3:08:46
460,367,i0004,2000,2022/12/29 12:31:57
469,154,i0004,2000,2022/12/30 3:04:21
482,280,i0004,2000,2022/12/30 20:06:59
3,64,i0005,2300,2022/12/01 4:29:25
10,893,i0005,2300,2022/12/01 10:34:57
36,727,i0005,2300,2022/12/02 20:09:11
39,758,i0005,2300,2022/12/03 0:32:07
44,135,i0005,2300,2022/12/03 10:00:20
130,866,i0005,2300,2022/12/09 2:13:56
134,165,i0005,2300,2022/12/09 8:55:51
138,374,i0005,2300,2022/12/09 13:37:09
188,92,i0005,2300,2022/12/12 14:34:20
201,179,i0005,2300,2022/12/13 6:05:54
212,148,i0005,2300,2022/12/14 5:47:50
239,59,i0005,2300,2022/12/15 18:12:21
265,419,i0005,2300,2022/12/17 17:08:25
344,695,i0005,2300,2022/12/22 7:21:26
431,671,i0005,2300,2022/12/27 22:27:00
2,118,i0006,3500,2022/12/01 1:14:27
18,391,i0006,3500,2022/12/01 20:32:21
40,239,i0006,3500,2022/12/03 2:02:32
127,190,i0006,3500,2022/12/08 20:18:02
241,142,i0006,3500,2022/12/15 18:24:34
326,160,i0006,3500,2022/12/21 0:37:41
376,814,i0006,3500,2022/12/23 21:09:58
403,560,i0006,3500,2022/12/25 1:57:14
461,71,i0006,3500,2022/12/29 14:23:58
479,841,i0006,3500,2022/12/30 16:46:26
300,885,i0007,8000,2022/12/19 16:11:21
25,475,i0008,1400,2022/12/02 12:49:36
33,900,i0008,1400,2022/12/02 19:10:11
59,23,i0008,1400,2022/12/04 10:38:56
71,909,i0008,1400,2022/12/05 4:32:50
223,711,i0008,1400,2022/12/15 1:05:28
343,465,i0008,1400,2022/12/22 6:04:14
362,591,i0008,1400,2022/12/23 3:09:31
411,579,i0008,1400,2022/12/25 15:49:59
441,605,i0008,1400,2022/12/28 17:42:28
73,547,i0009,1700,2022/12/05 9:42:42
92,448,i0009,1700,2022/12/06 16:42:58
149,325,i0009,1700,2022/12/10 8:02:53
208,656,i0009,1700,2022/12/13 19:11:17
250,705,i0009,1700,2022/12/16 12:52:35
291,612,i0009,1700,2022/12/19 11:19:01
317,591,i0009,1700,2022/12/20 10:58:54
334,995,i0009,1700,2022/12/21 17:16:48
356,670,i0009,1700,2022/12/22 15:16:15
379,293,i0009,1700,2022/12/24 1:37:46
452,311,i0009,1700,2022/12/29 5:02:29
252,843,i0010,8200,2022/12/16 15:32:33
28,287,i0011,3200,2022/12/02 15:08:38
80,1,i0011,3200,2022/12/05 21:01:34
145,806,i0011,3200,2022/12/09 23:20:36
154,565,i0011,3200,2022/12/10 14:38:26
177,350,i0011,3200,2022/12/11 20:41:57
200,364,i0011,3200,2022/12/13 4:31:50
267,834,i0011,3200,2022/12/17 19:50:47
315,546,i0011,3200,2022/12/20 10:42:54
365,215,i0011,3200,2022/12/23 6:08:53
378,897,i0011,3200,2022/12/23 23:32:58
389,231,i0011,3200,2022/12/24 14:19:29
481,474,i0011,3200,2022/12/30 19:55:36
70,24,i0012,300,2022/12/05 3:27:39
202,620,i0012,300,2022/12/13 6:18:11
303,968,i0012,300,2022/12/19 18:42:06
407,8,i0012,300,2022/12/25 6:35:45
462,197,i0012,300,2022/12/29 14:44:29
55,182,i0013,1500,2022/12/04 4:52:49
209,15,i0013,1500,2022/12/13 20:43:01
256,643,i0013,1500,2022/12/16 23:39:07
98,988,i0014,2900,2022/12/06 22:11:04
114,577,i0014,2900,2022/12/07 22:41:38
186,274,i0014,2900,2022/12/12 8:26:52
230,423,i0014,2900,2022/12/15 8:26:03
280,580,i0014,2900,2022/12/18 15:26:58
313,530,i0014,2900,2022/12/20 9:15:45
324,665,i0014,2900,2022/12/20 23:20:31
342,524,i0014,2900,2022/12/22 5:48:57
416,498,i0014,2900,2022/12/26 3:48:11
442,96,i0014,2900,2022/12/28 17:53:27
466,608,i0014,2900,2022/12/29 22:42:24
76,290,i0015,2700,2022/12/05 12:16:48
77,811,i0015,2700,2022/12/05 12:22:10
82,458,i0015,2700,2022/12/05 23:40:34
90,861,i0015,2700,2022/12/06 14:34:49
122,21,i0015,2700,2022/12/08 13:37:28
141,288,i0015,2700,2022/12/09 15:27:21
